City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
203,San Angelo,31.4638,-100.437,95.22,28,0,9.22,clear sky,US,2022-07-23 02:44:34
204,El Angel,0.6167,-77.9333,42.31,92,99,1.99,overcast clouds,EC,2022-07-23 02:45:43
205,Muyinga,-2.8333,30.3333,60.67,54,82,6.67,broken clouds,BI,2022-07-23 02:45:43
206,Bend,44.0582,-121.3153,79.88,32,0,12.66,clear sky,US,2022-07-23 02:45:25
207,Isangel,-19.55,169.2667,78.57,77,100,8.68,light rain,VU,2022-07-23 02:45:44
208,Redmond,47.674,-122.1215,76.21,65,2,1.99,clear sky,US,2022-07-23 02:45:02
209,Grand Gaube,-20.0064,57.6608,69.39,71,1,7.0,clear sky,MU,2022-07-23 02:45:44
210,Betanzos,43.2804,-8.2147,63.52,80,0,4.61,clear sky,ES,2022-07-23 02:45:45
211,Marawi,7.9986,124.2928,79.36,75,43,2.06,scattered clouds,PH,2022-07-23 02:45:45
212,Honningsvag,70.9821,25.9704,51.55,82,100,5.75,overcast clouds,NO,2022-07-23 02:45:46
213,Pingshan,22.9938,114.7131,92.73,58,2,3.33,clear sky,CN,2022-07-23 02:45:46
214,Ahuimanu,21.4447,-157.8378,85.71,66,20,18.41,few clouds,US,2022-07-23 02:45:47
215,Gazli,40.1333,63.45,97.72,14,0,16.51,clear sky,UZ,2022-07-23 02:45:47
216,Hay River,60.8156,-115.7999,71.58,46,75,8.05,broken clouds,CA,2022-07-23 02:45:48
217,Newtownards,54.5924,-5.6909,55.62,92,66,0.0,broken clouds,GB,2022-07-23 02:45:48
218,Fortuna,40.5982,-124.1573,61.66,74,2,5.66,clear sky,US,2022-07-23 02:45:49
219,Katsuura,35.1333,140.3,82.87,70,0,19.62,clear sky,JP,2022-07-23 02:45:49
220,Tual,-5.6667,132.75,78.03,78,98,14.85,overcast clouds,ID,2022-07-23 02:45:50
221,Andenes,69.3143,16.1194,51.78,93,100,18.41,overcast clouds,NO,2022-07-23 02:45:50
222,Tiznit,29.5833,-9.5,80.1,36,37,2.28,scattered clouds,MA,2022-07-23 02:44:50
223,Lagoa,39.05,-27.9833,71.53,92,100,7.43,overcast clouds,PT,2022-07-23 02:45:51
224,Talnakh,69.4865,88.3972,76.21,33,14,8.23,few clouds,RU,2022-07-23 02:45:51
225,General Bravo,25.8,-99.1667,84.67,59,0,23.76,clear sky,MX,2022-07-23 02:46:52
226,Seinajoki,62.7945,22.8282,55.98,85,100,9.22,overcast clouds,FI,2022-07-23 02:46:52
227,Leningradskiy,69.3833,178.4167,38.71,79,64,7.65,broken clouds,RU,2022-07-23 02:46:52
228,Buraydah,26.326,43.975,84.65,15,79,1.86,broken clouds,SA,2022-07-23 02:46:53
229,Nhulunbuy,-12.2333,136.7667,79.41,44,6,14.97,clear sky,AU,2022-07-23 02:46:53
230,Kutum,14.2,24.6667,78.46,46,77,4.45,broken clouds,SD,2022-07-23 02:46:54
231,Laguna,38.421,-121.4238,91.69,20,0,11.5,clear sky,US,2022-07-23 02:46:54
232,Ancud,-41.8697,-73.8203,41.23,94,100,14.16,light rain,CL,2022-07-23 02:46:54
233,Qaanaaq,77.484,-69.3632,36.91,98,100,13.24,light rain,GL,2022-07-23 02:46:55
234,Shizunai,42.3339,142.3669,67.26,93,100,5.23,overcast clouds,JP,2022-07-23 02:46:55
235,Torbay,47.6666,-52.7314,68.77,88,100,11.5,overcast clouds,CA,2022-07-23 02:43:18
236,Calais,50.9167,1.8333,60.82,81,86,7.49,overcast clouds,FR,2022-07-23 02:46:56
237,Magadan,59.5667,150.8,79.54,73,60,7.4,broken clouds,RU,2022-07-23 02:46:57
238,Pangnirtung,66.1451,-65.7125,50.38,67,71,1.25,broken clouds,CA,2022-07-23 02:46:57
239,Coquimbo,-29.9533,-71.3436,55.13,82,100,2.3,overcast clouds,CL,2022-07-23 02:46:57
240,Danielskuil,-28.1887,23.5395,55.72,56,81,11.48,broken clouds,ZA,2022-07-23 02:46:58
241,Manadhoo,5.7667,73.3833,81.82,79,100,16.62,overcast clouds,MV,2022-07-23 02:46:58
242,Petropavlovsk-Kamchatskiy,53.0452,158.6483,61.39,67,75,11.18,broken clouds,RU,2022-07-23 02:46:59
243,Karpathos,35.507,27.2132,73.36,83,0,25.32,clear sky,GR,2022-07-23 02:46:59
244,Victor Harbor,-35.5667,138.6167,62.01,73,20,1.01,few clouds,AU,2022-07-23 02:46:59
245,Leshukonskoye,64.8989,45.7622,61.72,84,100,8.68,overcast clouds,RU,2022-07-23 02:47:00
246,Teya,60.3778,92.6267,67.12,68,69,7.18,broken clouds,RU,2022-07-23 02:47:00
247,Buchanan,5.8808,-10.0467,75.54,78,90,6.55,overcast clouds,LR,2022-07-23 02:47:01
248,Kitakata,37.65,139.8667,72.72,96,98,5.55,overcast clouds,JP,2022-07-23 02:47:01
249,Cherskiy,68.75,161.3,54.88,45,23,1.48,few clouds,RU,2022-07-23 02:47:02
